Produto;Descricao;Unidade;Lote;Localizacao;Fisico;Sistema;Diferenca;Custo STD;Valor Total
ZR00910162;ADESIVO LOCTITE 290;pcs;;Z-D2C1;               0,000;              45,000;        45,0000;         2,3000;       103,5000
ZR00910188;COLA TIGRE;pcs;;Z-B4A1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910193;GAXETA GRAFITADA QUADRADA 1;pcs;;Z-G3E2;               0,000;              19,200;        19,2000;         2,3000;        44,1600
ZR00910194;COLA P/ JUNTA 3M DIESEL;pcs;;Z-D2D1;               0,000;               4,000;         4,0000;         2,3000;         9,2000
ZR00910198;LIXA D AGUA NR 80;pcs;;Z-E2C1;               0,000;              20,000;        20,0000;         2,3000;        46,0000
ZR00910198;LIXA D AGUA NR 80;pcs;;Z-E3B1;               0,000;               8,000;         8,0000;         2,3000;        18,4000
ZR00910204;DISCO DE CORTE NR 10;pcs;;Z-B7D1;               0,000;               6,000;         6,0000;         2,3000;        13,8000
ZR00910209;DISCO DESBASTE BDA 50 4 1/2;pcs;;Z-B7C1;               0,000;              62,000;        62,0000;         2,3000;       142,6000
ZR00910221;ELETRODO OK 46 00 2 5 MM;kg;;Z-B8D1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910221;ELETRODO OK 46 00 2 5 MM;kg;;Z-B8G1;               0,000;              18,000;        18,0000;         2,3000;        41,4000
ZR00910223;"ELETRODO OK 46 00 3 25 MM 1/8""";kg;;Z-B8E1;               0,000;              20,000;        20,0000;         2,3000;        46,0000
ZR00910232;FELTRO BRANCO;kg;;Z-H;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910236;FITA DE TEFLON VEDA ROSCA;pcs;;Z-B3D1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910237;FITA ISOLA PLAST19X20 CLASSE A;pcs;;Z-B3D1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910237;FITA ISOLA PLAST19X20 CLASSE A;pcs;;Z-B3E1;               0,000;               1,000;         1,0000;         2,3000;         2,3000
ZR00910244;FUSIVEL DIAZED 6 A;pcs;;Z-B3C1;               0,000;              20,000;        20,0000;         2,3000;        46,0000
ZR00910245;FUSIVEL DIAZED 10 A;pcs;;Z-B3C1;               0,000;              23,000;        23,0000;         2,3000;        52,9000
ZR00910246;FUSIVEL DIAZED 16 A;pcs;;Z-B3C1;               0,000;              12,000;        12,0000;         2,3000;        27,6000
ZR00910247;FUSIVEL DIAZED 20 A;pcs;;Z-B3C1;               0,000;              25,000;        25,0000;         2,3000;        57,5000
ZR00910248;FUSIVEL DIAZED 25 A;pcs;;Z-B3C1;               0,000;              17,000;        17,0000;         2,3000;        39,1000
ZR00910249;FUSIVEL DIAZED 30 A;pcs;;Z-B3C1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910250;FUSIVEL DIAZED 35 A;pcs;;Z-B3C1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910251;FUSIVEL DIAZED 50 A;pcs;;Z-B3C1;               0,000;              25,000;        25,0000;         2,3000;        57,5000
ZR00910252;FUSIVEL DIAZED 63 A;pcs;;Z-B3C1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910264;FUSIVEL NH RET 125 A T OO;pcs;;Z-B3C1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910268;FUSIVEL DE VIDRO 15 A;pcs;;Z-B3C1;               0,000;              14,000;        14,0000;         2,3000;        32,2000
ZR00910269;FUSIVEL DE VIDRO 5 A;pcs;;Z-B3C1;               0,000;              15,000;        15,0000;         2,3000;        34,5000
ZR00910270;FUSIVEL DE VIDRO 10 A;pcs;;Z-B3C1;               0,000;              15,000;        15,0000;         2,3000;        34,5000
ZR00910277;GAXETA GRAFITITADA QUADRADA1/2;kg;;Z-G4D1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00910278;"GAXETA AMIANINTO QUADRADA 1/2""";kg;;Z-C8E1;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00910279;GAXETA GRAFITITADA QUAD 3/8'';kg;;Z-G3A1;               0,000;               7,500;         7,5000;         2,3000;        17,2500
ZR00910280;GAXETA GRAFITITADA REDONDA 5/1;kg;;Z-G2A1;               0,000;               4,100;         4,1000;         2,3000;         9,4300
ZR00910280;GAXETA GRAFITITADA REDONDA 5/1;kg;;Z-G4D1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910281;"GAXETA GRAFITADA QUADRADA 5/8""";kg;;Z-G3D1;               0,000;              13,000;        13,0000;         2,3000;        29,9000
ZR00910283;"GAXETA GRAFITADA REDONDA 1/4""";kg;;Z-C8C1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00910286;GRAXA ALTA TEMP  UNIREX  N2;kg;;Z-H;               0,000;              16,000;        16,0000;         2,3000;        36,8000
ZR00910287;"PAPELAO HIDRAULICO ESPES 1/64""";kg;;Z-D4D1;               0,000;               0,700;         0,7000;         2,3000;         1,6100
ZR00910287;"PAPELAO HIDRAULICO ESPES 1/64""";kg;;Z-H;               0,000;               1,800;         1,8000;         2,3000;         4,1400
ZR00910295;LAMPADA FLUORESCENTE 20W 220V;pcs;;Z-A5B1;               0,000;               1,000;         1,0000;         2,3000;         2,3000
ZR00910295;LAMPADA FLUORESCENTE 20W 220V;pcs;;Z-B5A1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00910296;LAMPADA FLUORESCENTE 40W 220V;pcs;;Z-B7TOPO;               0,000;             117,000;       117,0000;         2,3000;       269,1000
ZR00910297;LAMPADA INCANDESCENTE 60 WATTS;pcs;;Z-D3D1;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00910300;LAMPADA BA15 110V / 130 VOLTS;pcs;;Z-B3C1;               0,000;              12,000;        12,0000;         2,3000;        27,6000
ZR00910301;LAMPADA VAPOR DE MERC  HQL400W;pcs;;WC-12A020;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00910302;LAMPADA MISTA 160 WATTS;pcs;;Z-D3D1;               0,000;               3,000;         3,0000;         2,3000;         6,9000
ZR00910306;LIXA DE FERRO NR 40;pcs;;Z-E3A2;               0,000;              90,000;        90,0000;         2,3000;       207,0000
ZR00910307;LIXA DE FERRO NR 50;pcs;;Z-E2B1;               0,000;               7,000;         7,0000;         2,3000;        16,1000
ZR00910308;LIXA DE FERRO NR 60;pcs;;Z-E3B1;               0,000;              12,000;        12,0000;         2,3000;        27,6000
ZR00910309;LIXA DE FERRO NR 80;pcs;;Z-E2B1;               0,000;              17,000;        17,0000;         2,3000;        39,1000
ZR00910309;LIXA DE FERRO NR 80;pcs;;Z-E3B1;               0,000;              10,000;        10,0000;         2,3000;        23,0000
ZR00910310;LIXA DE FERRO NR 100;pcs;;Z-E3B1;               0,000;              22,000;        22,0000;         2,3000;        50,6000
ZR00910311;LIXA DE FERRO NR 150;pcs;;Z-E3C1;               0,000;             124,000;       124,0000;         2,3000;       285,2000
ZR00910312;LIXA DE FERRO NR 180;pcs;;Z-E3C1;               0,000;              62,000;        62,0000;         2,3000;       142,6000
ZR00910315;LIXA D AGUA NR 100;pcs;;Z-E2D1;               0,000;               9,000;         9,0000;         2,3000;        20,7000
ZR00910316;LIXA D AGUA NR 120;pcs;;Z-E2D1;               0,000;              73,000;        73,0000;         2,3000;       167,9000
ZR00910317;LIXA D AGUA NR 150;pcs;;Z-E2D1;               0,000;              21,000;        21,0000;         2,3000;        48,3000
ZR00910318;LIXA D AGUA NR 180;pcs;;Z-E2E1;               0,000;              18,000;        18,0000;         2,3000;        41,4000
ZR00910319;LIXA D AGUA NR 220;pcs;;Z-E2E1;               0,000;              17,000;        17,0000;         2,3000;        39,1000
ZR00910320;LIXA D AGUA NR 240;pcs;;Z-E2E1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910321;LIXA D AGUA NR 320;pcs;;Z-E2F1;               0,000;              79,000;        79,0000;         2,3000;       181,7000
ZR00910322;LIXA D AGUA NR 360;pcs;;Z-E2F1;               0,000;              17,000;        17,0000;         2,3000;        39,1000
ZR00910323;LIXA D AGUA NR 400;pcs;;Z-E2G1;               0,000;              88,000;        88,0000;         2,3000;       202,4000
ZR00910324;LIXA D AGUA NR 500;pcs;;Z-E2G1;               0,000;              26,000;        26,0000;         2,3000;        59,8000
ZR00910330;MASSA DE RESINA DUREPOXI 250g;pcs;;Z-B4A1;               0,000;               4,000;         4,0000;         2,3000;         9,2000
ZR00910349;OXIGENIO CILINDRO;m3;;WC-12A030;               0,000;              40,000;        40,0000;         2,3000;        92,0000
ZR00910363;BATERIA DE 9 V;pcs;;Z-B3D1;               0,000;               5,000;         5,0000;         2,3000;        11,5000
ZR00910364;PILHA PEQUENA AA;pcs;;WC-RECEB;               0,000;              38,000;        38,0000;         2,3000;        87,4000
ZR00910364;PILHA PEQUENA AA;pcs;;Z-B3D1;               0,000;               2,000;         2,0000;         2,3000;         4,6000
ZR00910365;PILHA GRANDE D;pcs;;Z-B3D1;               0,000;              24,000;        24,0000;         2,3000;        55,2000
ZR00910366;"PINCEL DE 3/4""";pcs;;Z-B4A1;               0,000;              21,000;        21,0000;         2,3000;        48,3000
ZR00910367;"PINCEL DE 1/2""";pcs;;Z-B4A1;               0,000;              29,000;        29,0000;         2,3000;        66,7000
ZR00910367;"PINCEL DE 1/2""";pcs;;Z-E1F1;               0,000;               9,000;         9,0000;         2,3000;        20,7000
ZR00910368;"PINCEL DE 1""";pcs;;Z-B4A1;               0,000;               7,000;         7,0000;         2,3000;        16,1000
ZR00910369;"PINCEL DE 1 1/2""";pcs;;Z-B4A1;               0,000;              14,000;        14,0000;         2,3000;        32,2000
